	ORF	Gene	SGDID	GO_Aspect	GO_Slim_Term	GOID	Feature_type	Feature_typed_Filtered
342	YAL005C	SSA1	S000000004	P	nuclear transport	GO:0051169	ORF|Verified	True
343	YAL005C	SSA1	S000000004	P	protein folding	GO:0006457	ORF|Verified	True
344	YAL005C	SSA1	S000000004	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
345	YAL005C	SSA1	S000000004	P	protein targeting	GO:0006605	ORF|Verified	True
346	YAL005C	SSA1	S000000004	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
347	YAL005C	SSA1	S000000004	P	transmembrane transport	GO:0055085	ORF|Verified	True
353	YAL007C	ERP2	S000000005	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
359	YAL008W	FUN14	S000000006	P	mitochondrion organization	GO:0007005	ORF|Verified	True
366	YAL009W	SPO7	S000000007	P	lipid metabolic process	GO:0006629	ORF|Verified	True
367	YAL009W	SPO7	S000000007	P	nucleus organization	GO:0006997	ORF|Verified	True
368	YAL009W	SPO7	S000000007	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
376	YAL010C	MDM10	S000000008	P	ion transport	GO:0006811	ORF|Verified	True
377	YAL010C	MDM10	S000000008	P	lipid transport	GO:0006869	ORF|Verified	True
378	YAL010C	MDM10	S000000008	P	mitochondrion organization	GO:0007005	ORF|Verified	True
379	YAL010C	MDM10	S000000008	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
380	YAL010C	MDM10	S000000008	P	protein targeting	GO:0006605	ORF|Verified	True
381	YAL010C	MDM10	S000000008	P	transmembrane transport	GO:0055085	ORF|Verified	True
387	YAL011W	SWC3	S000000009	P	chromatin organization	GO:0006325	ORF|Verified	True
391	YAL012W	CYS3	S000000010	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
395	YAL013W	DEP1	S000000011	P	DNA replication	GO:0006260	ORF|Verified	True
396	YAL013W	DEP1	S000000011	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
397	YAL013W	DEP1	S000000011	P	chromatin organization	GO:0006325	ORF|Verified	True
398	YAL013W	DEP1	S000000011	P	histone modification	GO:0016570	ORF|Verified	True
399	YAL013W	DEP1	S000000011	P	lipid metabolic process	GO:0006629	ORF|Verified	True
400	YAL013W	DEP1	S000000011	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
401	YAL013W	DEP1	S000000011	P	response to heat	GO:0009408	ORF|Verified	True
402	YAL013W	DEP1	S000000011	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
415	YAL015C	NTG1	S000000013	P	DNA repair	GO:0006281	ORF|Verified	True
416	YAL015C	NTG1	S000000013	P	DNA replication	GO:0006260	ORF|Verified	True
417	YAL015C	NTG1	S000000013	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
418	YAL015C	NTG1	S000000013	P	mitochondrion organization	GO:0007005	ORF|Verified	True
419	YAL015C	NTG1	S000000013	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
420	YAL015C	NTG1	S000000013	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
421	YAL015C	NTG1	S000000013	P	response to chemical	GO:0042221	ORF|Verified	True
422	YAL015C	NTG1	S000000013	P	response to oxidative stress	GO:0006979	ORF|Verified	True
437	YAL016W	TPD3	S000000014	P	chromosome segregation	GO:0007059	ORF|Verified	True
438	YAL016W	TPD3	S000000014	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
439	YAL016W	TPD3	S000000014	P	organelle fission	GO:0048285	ORF|Verified	True
440	YAL016W	TPD3	S000000014	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
441	YAL016W	TPD3	S000000014	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
442	YAL016W	TPD3	S000000014	P	regulation of translation	GO:0006417	ORF|Verified	True
446	YAL017W	PSK1	S000000015	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
447	YAL017W	PSK1	S000000015	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
448	YAL017W	PSK1	S000000015	P	protein phosphorylation	GO:0006468	ORF|Verified	True
452	YAL018C	LDS1	S000000016	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
453	YAL018C	LDS1	S000000016	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
454	YAL018C	LDS1	S000000016	P	sporulation	GO:0043934	ORF|Verified	True
463	YAL019W	FUN30	S000000017	P	DNA repair	GO:0006281	ORF|Verified	True
464	YAL019W	FUN30	S000000017	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
465	YAL019W	FUN30	S000000017	P	chromatin organization	GO:0006325	ORF|Verified	True
466	YAL019W	FUN30	S000000017	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
472	YAL020C	ATS1	S000000018	P	RNA modification	GO:0009451	ORF|Verified	True
473	YAL020C	ATS1	S000000018	P	cell budding	GO:0007114	ORF|Verified	True
474	YAL020C	ATS1	S000000018	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
475	YAL020C	ATS1	S000000018	P	tRNA processing	GO:0008033	ORF|Verified	True
480	YAL021C	CCR4	S000000019	P	DNA replication	GO:0006260	ORF|Verified	True
481	YAL021C	CCR4	S000000019	P	DNA-templated transcription, elongation	GO:0006354	ORF|Verified	True
482	YAL021C	CCR4	S000000019	P	RNA catabolic process	GO:0006401	ORF|Verified	True
483	YAL021C	CCR4	S000000019	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
484	YAL021C	CCR4	S000000019	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
485	YAL021C	CCR4	S000000019	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
486	YAL021C	CCR4	S000000019	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
491	YAL022C	FUN26	S000000020	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
492	YAL022C	FUN26	S000000020	P	transmembrane transport	GO:0055085	ORF|Verified	True
499	YAL023C	PMT2	S000000021	P	protein glycosylation	GO:0006486	ORF|Verified	True
500	YAL023C	PMT2	S000000021	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
501	YAL023C	PMT2	S000000021	P	response to chemical	GO:0042221	ORF|Verified	True
502	YAL023C	PMT2	S000000021	P	signaling	GO:0023052	ORF|Verified	True
505	YAL024C	LTE1	S000000022	P	chromosome segregation	GO:0007059	ORF|Verified	True
506	YAL024C	LTE1	S000000022	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
507	YAL024C	LTE1	S000000022	P	organelle fission	GO:0048285	ORF|Verified	True
508	YAL024C	LTE1	S000000022	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
509	YAL024C	LTE1	S000000022	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
513	YAL025C	MAK16	S000000023	P	rRNA processing	GO:0006364	ORF|Verified	True
514	YAL025C	MAK16	S000000023	P	ribosomal large subunit biogenesis	GO:0042273	ORF|Verified	True
522	YAL026C	DRS2	S000000024	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
523	YAL026C	DRS2	S000000024	P	conjugation	GO:0000746	ORF|Verified	True
524	YAL026C	DRS2	S000000024	P	endocytosis	GO:0006897	ORF|Verified	True
525	YAL026C	DRS2	S000000024	P	endosomal transport	GO:0016197	ORF|Verified	True
526	YAL026C	DRS2	S000000024	P	ion transport	GO:0006811	ORF|Verified	True
527	YAL026C	DRS2	S000000024	P	lipid transport	GO:0006869	ORF|Verified	True
528	YAL026C	DRS2	S000000024	P	organelle assembly	GO:0070925	ORF|Verified	True
529	YAL026C	DRS2	S000000024	P	response to chemical	GO:0042221	ORF|Verified	True
530	YAL026C	DRS2	S000000024	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
531	YAL026C	DRS2	S000000024	P	ribosome assembly	GO:0042255	ORF|Verified	True
537	YAL027W	SAW1	S000000025	P	DNA repair	GO:0006281	ORF|Verified	True
538	YAL027W	SAW1	S000000025	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
539	YAL027W	SAW1	S000000025	P	regulation of DNA metabolic process	GO:0051052	ORF|Verified	True
544	YAL028W	FRT2	S000000026	P	response to osmotic stress	GO:0006970	ORF|Verified	True
552	YAL029C	MYO4	S000000027	P	organelle inheritance	GO:0048308	ORF|Verified	True
562	YAL030W	SNC1	S000000028	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
563	YAL030W	SNC1	S000000028	P	endocytosis	GO:0006897	ORF|Verified	True
564	YAL030W	SNC1	S000000028	P	exocytosis	GO:0006887	ORF|Verified	True
565	YAL030W	SNC1	S000000028	P	membrane fusion	GO:0061025	ORF|Verified	True
566	YAL030W	SNC1	S000000028	P	organelle fusion	GO:0048284	ORF|Verified	True
567	YAL030W	SNC1	S000000028	P	vesicle organization	GO:0016050	ORF|Verified	True
571	YAL031C	GIP4	S000000029	P	chromosome segregation	GO:0007059	ORF|Verified	True
572	YAL031C	GIP4	S000000029	P	protein dephosphorylation	GO:0006470	ORF|Verified	True
573	YAL031C	GIP4	S000000029	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
579	YAL032C	PRP45	S000000030	P	RNA splicing	GO:0008380	ORF|Verified	True
580	YAL032C	PRP45	S000000030	P	mRNA processing	GO:0006397	ORF|Verified	True
586	YAL033W	POP5	S000000031	P	RNA catabolic process	GO:0006401	ORF|Verified	True
587	YAL033W	POP5	S000000031	P	rRNA processing	GO:0006364	ORF|Verified	True
588	YAL033W	POP5	S000000031	P	snoRNA processing	GO:0043144	ORF|Verified	True
589	YAL033W	POP5	S000000031	P	tRNA processing	GO:0008033	ORF|Verified	True
592	YAL034C	FUN19	S000002134	P	biological_process	GO:0008150	ORF|Verified	True
600	YAL034W-A	MTW1	S000000032	P	chromosome segregation	GO:0007059	ORF|Verified	True
609	YAL035W	FUN12	S000000033	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
610	YAL035W	FUN12	S000000033	P	organelle assembly	GO:0070925	ORF|Verified	True
611	YAL035W	FUN12	S000000033	P	rRNA processing	GO:0006364	ORF|Verified	True
612	YAL035W	FUN12	S000000033	P	regulation of translation	GO:0006417	ORF|Verified	True
613	YAL035W	FUN12	S000000033	P	ribosomal small subunit biogenesis	GO:0042274	ORF|Verified	True
614	YAL035W	FUN12	S000000033	P	ribosome assembly	GO:0042255	ORF|Verified	True
615	YAL035W	FUN12	S000000033	P	translational initiation	GO:0006413	ORF|Verified	True
619	YAL036C	RBG1	S000000034	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
620	YAL036C	RBG1	S000000034	P	response to starvation	GO:0042594	ORF|Verified	True
634	YAL038W	CDC19	S000000036	P	carbohydrate metabolic process	GO:0005975	ORF|Verified	True
635	YAL038W	CDC19	S000000036	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
636	YAL038W	CDC19	S000000036	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
637	YAL038W	CDC19	S000000036	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
638	YAL038W	CDC19	S000000036	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
643	YAL039C	CYC3	S000000037	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
646	YAL040C	CLN3	S000000038	P	membrane fusion	GO:0061025	ORF|Verified	True
647	YAL040C	CLN3	S000000038	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
648	YAL040C	CLN3	S000000038	P	organelle fusion	GO:0048284	ORF|Verified	True
649	YAL040C	CLN3	S000000038	P	protein phosphorylation	GO:0006468	ORF|Verified	True
650	YAL040C	CLN3	S000000038	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
651	YAL040C	CLN3	S000000038	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
652	YAL040C	CLN3	S000000038	P	vacuole organization	GO:0007033	ORF|Verified	True
658	YAL041W	CDC24	S000000039	P	cytokinesis	GO:0000910	ORF|Verified	True
659	YAL041W	CDC24	S000000039	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
660	YAL041W	CDC24	S000000039	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
661	YAL041W	CDC24	S000000039	P	organelle fission	GO:0048285	ORF|Verified	True
662	YAL041W	CDC24	S000000039	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
663	YAL041W	CDC24	S000000039	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
664	YAL041W	CDC24	S000000039	P	signaling	GO:0023052	ORF|Verified	True
675	YAL042W	ERV46	S000000040	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
678	YAL043C	PTA1	S000000041	P	DNA-templated transcription, termination	GO:0006353	ORF|Verified	True
679	YAL043C	PTA1	S000000041	P	mRNA processing	GO:0006397	ORF|Verified	True
680	YAL043C	PTA1	S000000041	P	tRNA processing	GO:0008033	ORF|Verified	True
681	YAL043C	PTA1	S000000041	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
685	YAL044C	GCV3	S000000042	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
689	YAL044W-A	BOL1	S000007586	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
690	YAL044W-A	BOL1	S000007586	P	protein maturation	GO:0051604	ORF|Verified	True
697	YAL046C	BOL3	S000000044	P	protein maturation	GO:0051604	ORF|Verified	True
702	YAL047C	SPC72	S000000045	P	chromosome segregation	GO:0007059	ORF|Verified	True
703	YAL047C	SPC72	S000000045	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
704	YAL047C	SPC72	S000000045	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
705	YAL047C	SPC72	S000000045	P	organelle fission	GO:0048285	ORF|Verified	True
706	YAL047C	SPC72	S000000045	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
707	YAL047C	SPC72	S000000045	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
708	YAL047C	SPC72	S000000045	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
721	YAL048C	GEM1	S000000046	P	mitochondrion organization	GO:0007005	ORF|Verified	True
722	YAL048C	GEM1	S000000046	P	organelle inheritance	GO:0048308	ORF|Verified	True
723	YAL048C	GEM1	S000000046	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
726	YAL049C	AIM2	S000000047	P	biological_process	GO:0008150	ORF|Verified	True
730	YAL051W	OAF1	S000000048	P	chromatin organization	GO:0006325	ORF|Verified	True
731	YAL051W	OAF1	S000000048	P	lipid metabolic process	GO:0006629	ORF|Verified	True
732	YAL051W	OAF1	S000000048	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
733	YAL051W	OAF1	S000000048	P	response to chemical	GO:0042221	ORF|Verified	True
734	YAL051W	OAF1	S000000048	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
740	YAL053W	FLC2	S000000049	P	cell wall organization or biogenesis	GO:0071554	ORF|Verified	True
741	YAL053W	FLC2	S000000049	P	ion transport	GO:0006811	ORF|Verified	True
742	YAL053W	FLC2	S000000049	P	lipid metabolic process	GO:0006629	ORF|Verified	True
743	YAL053W	FLC2	S000000049	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
744	YAL053W	FLC2	S000000049	P	protein folding	GO:0006457	ORF|Verified	True
745	YAL053W	FLC2	S000000049	P	response to osmotic stress	GO:0006970	ORF|Verified	True
746	YAL053W	FLC2	S000000049	P	transmembrane transport	GO:0055085	ORF|Verified	True
751	YAL054C	ACS1	S000000050	P	chromatin organization	GO:0006325	ORF|Verified	True
752	YAL054C	ACS1	S000000050	P	cofactor metabolic process	GO:0051186	ORF|Verified	True
753	YAL054C	ACS1	S000000050	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
754	YAL054C	ACS1	S000000050	P	histone modification	GO:0016570	ORF|Verified	True
755	YAL054C	ACS1	S000000050	P	monocarboxylic acid metabolic process	GO:0032787	ORF|Verified	True
756	YAL054C	ACS1	S000000050	P	peptidyl-amino acid modification	GO:0018193	ORF|Verified	True
757	YAL054C	ACS1	S000000050	P	protein acylation	GO:0043543	ORF|Verified	True
762	YAL055W	PEX22	S000000051	P	peroxisome organization	GO:0007031	ORF|Verified	True
763	YAL055W	PEX22	S000000051	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
764	YAL055W	PEX22	S000000051	P	protein targeting	GO:0006605	ORF|Verified	True
765	YAL055W	PEX22	S000000051	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
766	YAL055W	PEX22	S000000051	P	signaling	GO:0023052	ORF|Verified	True
767	YAL055W	PEX22	S000000051	P	transmembrane transport	GO:0055085	ORF|Verified	True
777	YAL056W	GPB2	S000000052	P	invasive growth in response to glucose limitation	GO:0001403	ORF|Verified	True
778	YAL056W	GPB2	S000000052	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
779	YAL056W	GPB2	S000000052	P	pseudohyphal growth	GO:0007124	ORF|Verified	True
780	YAL056W	GPB2	S000000052	P	response to chemical	GO:0042221	ORF|Verified	True
781	YAL056W	GPB2	S000000052	P	signaling	GO:0023052	ORF|Verified	True
782	YAL056W	GPB2	S000000052	P	sporulation	GO:0043934	ORF|Verified	True
783	YAL056W	GPB2	S000000052	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
789	YAL058W	CNE1	S000000054	P	protein folding	GO:0006457	ORF|Verified	True
790	YAL058W	CNE1	S000000054	P	proteolysis involved in cellular protein catabolic process	GO:0051603	ORF|Verified	True
791	YAL058W	CNE1	S000000054	P	response to chemical	GO:0042221	ORF|Verified	True
798	YAL059W	ECM1	S000000055	P	nuclear transport	GO:0051169	ORF|Verified	True
799	YAL059W	ECM1	S000000055	P	ribosomal subunit export from nucleus	GO:0000054	ORF|Verified	True
811	YAL062W	GDH3	S000000058	P	cellular amino acid metabolic process	GO:0006520	ORF|Verified	True
823	YAL064W	YAL064W	S000000060	P	biological_process	GO:0008150	ORF|Verified	True
844	YAL068C	PAU8	S000002142	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
845	YAL068C	PAU8	S000002142	P	sporulation	GO:0043934	ORF|Verified	True
846	YAL068C	PAU8	S000002142	P	transcription from RNA polymerase II promoter	GO:0006366	ORF|Verified	True
858	YAR002C-A	ERP1	S000002129	P	Golgi vesicle transport	GO:0048193	ORF|Verified	True
866	YAR002W	NUP60	S000000063	P	DNA repair	GO:0006281	ORF|Verified	True
867	YAR002W	NUP60	S000000063	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
868	YAR002W	NUP60	S000000063	P	chromatin organization	GO:0006325	ORF|Verified	True
869	YAR002W	NUP60	S000000063	P	nuclear transport	GO:0051169	ORF|Verified	True
870	YAR002W	NUP60	S000000063	P	nucleobase-containing compound transport	GO:0015931	ORF|Verified	True
871	YAR002W	NUP60	S000000063	P	peptidyl-amino acid modification	GO:0018193	ORF|Verified	True
872	YAR002W	NUP60	S000000063	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
873	YAR002W	NUP60	S000000063	P	protein targeting	GO:0006605	ORF|Verified	True
874	YAR002W	NUP60	S000000063	P	regulation of protein modification process	GO:0031399	ORF|Verified	True
875	YAR002W	NUP60	S000000063	P	response to heat	GO:0009408	ORF|Verified	True
879	YAR003W	SWD1	S000000064	P	chromatin organization	GO:0006325	ORF|Verified	True
880	YAR003W	SWD1	S000000064	P	histone modification	GO:0016570	ORF|Verified	True
881	YAR003W	SWD1	S000000064	P	peptidyl-amino acid modification	GO:0018193	ORF|Verified	True
882	YAR003W	SWD1	S000000064	P	protein alkylation	GO:0008213	ORF|Verified	True
883	YAR003W	SWD1	S000000064	P	telomere organization	GO:0032200	ORF|Verified	True
890	YAR007C	RFA1	S000000065	P	DNA recombination	GO:0006310	ORF|Verified	True
891	YAR007C	RFA1	S000000065	P	DNA repair	GO:0006281	ORF|Verified	True
892	YAR007C	RFA1	S000000065	P	DNA replication	GO:0006260	ORF|Verified	True
893	YAR007C	RFA1	S000000065	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
894	YAR007C	RFA1	S000000065	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
895	YAR007C	RFA1	S000000065	P	organelle fission	GO:0048285	ORF|Verified	True
896	YAR007C	RFA1	S000000065	P	protein modification by small protein conjugation or removal	GO:0070647	ORF|Verified	True
897	YAR007C	RFA1	S000000065	P	telomere organization	GO:0032200	ORF|Verified	True
905	YAR008W	SEN34	S000000066	P	RNA splicing	GO:0008380	ORF|Verified	True
906	YAR008W	SEN34	S000000066	P	tRNA processing	GO:0008033	ORF|Verified	True
912	YAR014C	BUD14	S000000069	P	cell morphogenesis	GO:0000902	ORF|Verified	True
913	YAR014C	BUD14	S000000069	P	cytokinesis	GO:0000910	ORF|Verified	True
914	YAR014C	BUD14	S000000069	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
915	YAR014C	BUD14	S000000069	P	protein complex biogenesis	GO:0070271	ORF|Verified	True
916	YAR014C	BUD14	S000000069	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
917	YAR014C	BUD14	S000000069	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
918	YAR014C	BUD14	S000000069	P	regulation of transport	GO:0051049	ORF|Verified	True
922	YAR015W	ADE1	S000000070	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
926	YAR018C	KIN3	S000000071	P	chromosome segregation	GO:0007059	ORF|Verified	True
927	YAR018C	KIN3	S000000071	P	protein phosphorylation	GO:0006468	ORF|Verified	True
935	YAR019C	CDC15	S000000072	P	cytokinesis	GO:0000910	ORF|Verified	True
936	YAR019C	CDC15	S000000072	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
937	YAR019C	CDC15	S000000072	P	meiotic cell cycle	GO:0051321	ORF|Verified	True
938	YAR019C	CDC15	S000000072	P	mitotic cell cycle	GO:0000278	ORF|Verified	True
939	YAR019C	CDC15	S000000072	P	organelle fission	GO:0048285	ORF|Verified	True
940	YAR019C	CDC15	S000000072	P	protein phosphorylation	GO:0006468	ORF|Verified	True
941	YAR019C	CDC15	S000000072	P	regulation of cell cycle	GO:0051726	ORF|Verified	True
942	YAR019C	CDC15	S000000072	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
948	YAR020C	PAU7	S000000073	P	biological_process	GO:0008150	ORF|Verified	True
958	YAR027W	UIP3	S000000075	P	biological_process	GO:0008150	ORF|Verified	True
976	YAR031W	PRM9	S000000078	P	biological_process	GO:0008150	ORF|Verified	True
984	YAR033W	MST28	S000000079	P	vesicle organization	GO:0016050	ORF|Verified	True
1000	YAR042W	SWH1	S000000081	P	endocytosis	GO:0006897	ORF|Verified	True
1001	YAR042W	SWH1	S000000081	P	exocytosis	GO:0006887	ORF|Verified	True
1002	YAR042W	SWH1	S000000081	P	lipid transport	GO:0006869	ORF|Verified	True
1008	YAR050W	FLO1	S000000084	P	response to chemical	GO:0042221	ORF|Verified	True
1009	YAR050W	FLO1	S000000084	P	response to heat	GO:0009408	ORF|Verified	True
1010	YAR050W	FLO1	S000000084	P	response to oxidative stress	GO:0006979	ORF|Verified	True
1046	YBL001C	ECM15	S000000097	P	biological_process	GO:0008150	ORF|Verified	True
1050	YBL002W	HTB2	S000000098	P	chromatin organization	GO:0006325	ORF|Verified	True
1054	YBL003C	HTA2	S000000099	P	DNA repair	GO:0006281	ORF|Verified	True
1055	YBL003C	HTA2	S000000099	P	cellular response to DNA damage stimulus	GO:0006974	ORF|Verified	True
1056	YBL003C	HTA2	S000000099	P	chromatin organization	GO:0006325	ORF|Verified	True
